feature,importance_mean,importance_std
item_52_max,2.9680343193227987e-05,5.208020176501107e-05
item_220051_mean,2.802492593465544e-05,3.602251813865732e-05
item_5820_std,2.7207694416520047e-05,3.870353153446243e-05
item_8441_count,2.5878249958766198e-05,1.9698370842729904e-05
item_618_std,2.5869131112310485e-05,9.564655192727717e-05
item_220074_max,2.5492466841448012e-05,7.317187030289729e-05
item_723_mean,2.5490454741849965e-05,5.8056147238216324e-05
missingindicator_item_8553_mean,2.5096765878840353e-05,6.690559824105145e-06
missingindicator_item_220050_std,2.4643399216672802e-05,1.665766692804398e-05
item_220179_last,2.395767139224958e-05,4.22916564142436e-06
item_454_min,2.3809567743882098e-05,2.108567506326761e-05
item_455_min,2.2448276592201832e-05,2.2107169273700276e-06
LAST_CAREUNIT_TSICU,2.2407334694263258e-05,1.333256113342645e-05
item_492_count,2.2323880348174008e-05,1.2491349604045757e-05
item_220179_count,2.2131005725911646e-05,8.716384540317599e-06
item_723_min,2.181645605122684e-05,8.352505947772675e-06
item_455_std,2.1597055421851417e-05,1.902031353546756e-05
item_455_mean,2.1324163874869574e-05,7.727482299127928e-05
item_220181_std,2.1178946574829105e-05,7.964220123547911e-06
item_454_max,2.1035559309257045e-05,7.851407459086535e-06
item_220277_std,2.0753794870576046e-05,3.1025478698152547e-06
missingindicator_item_8368_std,2.033822911986505e-05,3.7437827544992114e-05
missingindicator_item_220052_mean,2.0192196624313486e-05,8.073094979304998e-06
item_456_count,1.9777467405757142e-05,4.2218260938691994e-05
item_220179_mean,1.8711191789233526e-05,1.3435985007540647e-05
missingindicator_item_834_mean,1.8410569836102564e-05,5.043239840276848e-05
item_220210_std,1.7761213603617597e-05,2.8499351486796617e-05
item_678_min,1.7469034719852507e-05,2.955275380706006e-05
missingindicator_item_8547_mean,1.6901643620625962e-05,2.7392051569190187e-05
item_723_max,1.6710180378343153e-05,2.0025881251239593e-05
item_581_mean,1.543906430894193e-05,1.3569941528290931e-05
item_5817_max,1.4503636321372414e-05,2.3553062116401405e-05
ADMISSION_LOCATION_** INFO NOT AVAILABLE **,1.3784047052167737e-05,1.2026951074517427e-05
item_492_max,1.3672414549648072e-05,3.204009795288096e-06
item_220181_mean,1.3525100063416229e-05,2.0765958013850153e-05
item_5820_max,1.2630939054614209e-05,0.00016915509157131936
item_220052_last,1.190547368845607e-05,1.547117698727534e-05
item_679_std,1.1797699632887237e-05,6.3338098465718325e-06
missingindicator_item_678_std,1.1566171126098368e-05,1.0595727743316105e-05
item_220181_min,1.0610550046141753e-05,8.54261983181271e-05
item_220210_min,1.0535840627778904e-05,8.110784493115824e-05
item_811_mean,1.0375660674100117e-05,0.000136656133422294
item_220210_last,9.778875427235433e-06,7.404467935812208e-06
item_8547_last,9.717420084076612e-06,3.822392279720818e-05
item_8441_max,9.576097985541931e-06,0.0001591675750936799
item_811_std,7.748292681331037e-06,3.273383149801946e-05
item_8549_std,6.488037502949684e-06,2.8517591435647102e-05
item_8551_max,6.295969373981691e-06,5.528916754423409e-05
item_220180_mean,6.216364101607752e-06,3.5975949311173115e-06
item_223901_mean,5.832211512202256e-06,1.922977686411538e-05
item_220051_min,4.923985261784392e-06,8.534153307288227e-06
item_581_max,4.862646608827514e-06,1.4339200174509336e-05
item_8551_last,3.885061068453766e-06,2.7754438530221053e-05
